urlDrugName,rating,effectiveness,sideEffects,condition,benefitsReview,sideEffectsReview,commentsReview
ambien,10,Highly Effective,Mild Side Effects,sleep,AMBIEN HAS ALLOWED ME TO HAVE A full night of sleep and wake up feeling like a new person and ready for the day.,"At first feeling a little groogy in the morning.But that goes away and yoiu wake up refreshed.in the morning,but that went away ,",After taking Ambien it slowly begins to relax and calm down the busy brain
clonazepam,8,Considerably Effective,Mild Side Effects,sleep walking/talking,"This drug is very effective in making me sleep well, and works as a paralytic on my brain to keep me from sleep walking/talking.  It has also cut down on my migraines since I started taking it.","Daytime drowsiness, highly addictive, bad withdrawal symptoms which caused terrible insomnia.","I took 1mg at night (up from an initial 1/2 mg dose) before bed as a treatment for sleep walking/talking and the inability to progress to deep sleep. This medicine worked great at first, but after 6 months I was no longer seeing a benefit.  The doctor took me off of it for 2 weeks as a drug holiday to let my brain rest, and had to put me on another med during that time because I had terrible insomnia as a result of withdrawal (I have never had insomnia in my life).  I do have some short term memory problems, but overall saw a bigger benefit to feeling better and an increased quality of life to stop taking the drug."
chantix,1,Ineffective,Extremely Severe Side Effects,quitting smoking,The only time I didn't want to smoke was when I was so nauseous and or throwing up after taking the medication. I seemingly derived no benefit from the use of this medication.,"nausea, vommiting, depression, vivid dreams, and nightmares.  The vommiting came on within minutes of ingestion and my physician offered no other dosage or medication to alleviate the side effects.","I was to be on this course of treatment for a possible 12 weeks....From the onset of treatment, I experienced every one of the adverse effects and was told that after a few weeks they would subside...So was not the case in my situation...I finally gave up as my life was severely impacted by using this medication."
lyrica,9,Considerably Effective,Moderate Side Effects,pinched nerves,Lyrica really helped my pinched nerves and radicuopathy in my legs. I would go to bed in terrible pain and sometimes couldn't even lie down because my lower back and legs would cause me so much discomfort. When I woke up I couldn't feel my legs and could barely walk. Lyrica makes it easy and painless to sleep and in the morning I can walk and drive without worrying if my legs will go numb.,"After taking Lyrica I developed tinnitus. I started hearing Morse code, music, and running water. I was also checked for ear problems and schizophrenia and the tests were negative. It did cause some drowsiness and made it hard to get up in the morning for the fist two or three weeks, but overall it has been a blessing. No weight gain either, although my doctor did warn me it could happen.",Take as recommended by your doctor.
retin-a,8,Moderately Effective,Moderate Side Effects,acne,"Reduced acne.  I had mild/moderate acne, and Retin-A did decrease the amount of ance I had.  I liked Retin-A also because it reduces wrinkles.  I am only 28, so I don't have many wrinkles, but used it as prevention.","My skin would become too dry.  It seemed that even after months of usage, my ance would not completely disappear.  If I used more Retin-A, my acne would get better for a week or two until my skin became too dry and then I would have worse acne",I would apply Retin-A to my face once a day at night
differin,4,Marginally Effective,Mild Side Effects,elarge pores blackheads around nose & cheeks,The Differin did seem to help clear up the occasional blemishes I would get. made a slight improvement in the size of blackheads on my nose and cheeks but didn't aleviate them entirely.,"My skin became more sensitive although this happened after about a week of use not in the beginning. There were times when my skin felt warm. My skin peeled a little bit and felt and appeared dry. There was some periodic itching. My skin became more sensitive and something like a scrape would hurt. Additionally and most noticeably even though I avoided my eye area the differin would make the skin around my eyes sore, red and flaky. I'm not sure how it spread to my eyes when I avoided rubbing it in anywhere close, but it did.","I was directed to apply once or twice a week and build up to once per night as tolerated. I was able to tolerate once per night application for the entire course of treatment. There were some negative side effects (itching, sensitivity, warmth, and redness especially around my eyes) and not much in the way of positive side effects. I am now considering asking my dermatologist for a different prescription."
flonase,10,Highly Effective,No Side Effects,alergies,"Not only was my nose cleared up almost immediately, my allergies weren't as harsh.  my Step father is a MD and he prescribes this to all of his patients.  I love this stuff.  The only bad part was that for the first minute or so after spraying it everything smelled very bad.",none,Two puffs in each nostril twice a day.
vasotec,10,Highly Effective,No Side Effects,hypertension,"i had elevated blood pressure which was treated with different medications in the past. initially i was treated with norvasc which caused constipation. then i was treated with cozaar which did not control blood pressure well , instead it caused fluctuation of the blood pressure going from high to low over the course of the day, which made me very uncomfortable because i will sense both high and low blood pressure and have headache whether it was low or high. vasotec even in the small dose that i am taking now   normalized  my blood pressure , so i do not have  fluctuation of the  blood pressure any more.",none,"""medication is taken once daily for blood pressure control."
duragesic,7,Moderately Effective,Mild Side Effects,cancer/constant pain,Having a constant level of pain relief by transdermal absorbpion.,"After 6-16 hours I became quite sleepy and tired.  After a couple of hours of sleep, I awoke feeling as I usually do first thing in the morning.  A couple of hours later the sleepiness returned.",Apply the patch every 3 days.
mobic,10,Highly Effective,No Side Effects,sore heel and arthritis,"swelling gone, pain pretty much gone in heel, arthritis pain all gone","So far - none- I take this in the morning with breakfast, no problems with stomach pain, etc. - soon going to take 7.5mg each day and see if there is a big difference",Had severe pain in heel from spurs and it is very much improved and not swollen any more.  Also had arthritis pain in back and knee.  It is totally gone.  I am active and like to walk and do exercise and this has been a lifesaver.  Can really enjoy the workout without the pain.
renova,7,Moderately Effective,Mild Side Effects,wrinkles,"Some reduction in wrinkles and pores were observied, but I'm not sure if it's the Renova or the Fraxel or the combination.",Slight irritation at first with Renova. Fraxel treatments cause swelling and redness for a few days. Not too bad. But the Renova will sometimes cause skin to peel off and flake - looks bad but only lasts a day.,"I'm doing Fraxel treatements once every 4-6 wks, combined with Renova every night (except right after the Fraxel treatment). Some improvement has been observed."
propecia,10,Highly Effective,No Side Effects,hairloss,It stopped my hair loss!!!! I have regrew some hair too!!! It works dudes try it! Stick with it cuz its worth it. Propecia is a dream come true. It didnt start REALLY working till after 5 months. I started using it 6 months ago and now i lose only 1 hair when i shower instead of like 12. Dude try it for real! I was worried about side affects at first but had none. Ive had a great experience and want to share it with you. I wish i started treatment earlier. My only advise is to do it now!!!!!  I know what your going through. Give propecia a try bro! I really hope it works for you too!!!!!! Thank GOD for propecia!!!,none,1 pill a day
prilosec,10,Highly Effective,No Side Effects,acid reflux,"It completely eliminated all heartburn symptoms.  I am able to eat what I want whenever I want.  This is after nearly 2 years (before going on the drug) of trying to change my diet and lifestyle but no matter what I did, I could not find relief of constant, daily heartburn.  My days used to revolve around juggling over the counter heartburn medicines. This drug finally gave me relief.",No side effects.,"""Unlike another user claims, this drug does not """"teach"""" your body to produce more acid.  Once it's out of your system, it's out of your system, and yes the symptoms of acid reflux will likely return because this drug is not meant to cure any underlying condition, but simply to manage the painful symptoms of GERD and other problems with producing excess stomach acid.  I will probably have to take it forever, but it's worth it to me to take a medicine every day versus suffering every day with constant heartburn and acid reflux."""
levothroid,10,Considerably Effective,Mild Side Effects,hypothyroidism,"The treatment benefits were really not noticable because the condition of hypothyroidism ranges from non-symptomatic to many symptoms.  At the time of diagnosis, I only had symptoms of mild fatigue which could have been the result of many other conditions","There were really no overt, obvious side effects of the treatment.  levothyroxine is known to cause insomnia.  It may have been coincidence, but my sleeping habits deteriorated approximately at the same time I began therapy.  I am currently in the process of reducing my dose to see if sleep habits improve, but lab values remain at good levels","As I mentioned above, my diagnosis was based almost exclusively on labratory tests.  TSH and T4 (thyroid hormone) were found to be too high and too low, respectively.  Relatively non-descript symptoms accompanied the list of complaints at the time of diagnosis.  These symptoms improved somewhat after treatment.  It is still to be determined if side effects will be improved on reduced dosage."
singulair,10,Highly Effective,No Side Effects,asthma,"Singulair is very effective in keeping my asthmatic symptoms in control.  If I forget to take it, I can tell that my breathing becomes more labored by about 36 hours after the last dose.  I will on occasion (maybe 1-2 times per week) need to use my rescue inhaler (albuterol), but it is primarily needed to ease discomfort and not to stop a full blown asthma attack.  In fact, I have not suffered a full blown asthma attack since I started taking Singulair.",There are no apparent side effects of Singulair for me.,"My asthma had become so bad that when I was to be administered a test where I would be exposed to irritants to guage the severity of my asthma, I did not even get past the saline control before my breathing was adversely affected.  I would say that my experience with Singulair has been superior (only surpassed  by Advair, which I had to stop using due to the fact that my insurance company wouldn't cover it anymore.  That led to my change to Singulair.)"
imitrex,6,Considerably Effective,Moderate Side Effects,migraine headaches,"Imitrex usually reduced the headache severity, if I was able to take it at the first sign of a headache. If I took it later, Imitrex might help somewhat but often not enough.","I was often tired after a severe headache. Otherwise, I didn't notice too many side effects.","I built up an immunity to the effects of Imitrex. I took them more often and needed to take more of them. I was eventually taking nearly 3 per day. It was extremely expensive, and the bigger issue is that such a high dosage isn't good long term. It was hell breaking the addiction!"
prednisone,7,Highly Effective,Severe Side Effects,giant cell arteritis,Took care of the GCA -as long as I am taking it at least.,most significant: osteoporosis and skin thinning. muscle wasting. weight loss. possibly arterial side effects and TIREDNESS!,"""The gca with eye involvement responded to the 60 mg prednisone immediately. the tapering of the prednisone proves to be the most difficult. After the first complete tapering ( down to zero ) a relapse occurred. Now on 6 mg maintencance. "
pristiq,8,Considerably Effective,Mild Side Effects,depression/anxiety,depression decreased while on this drug,"I experienced minimal side effects, the only side effect was loss of appetite and weight loss which in my opinion isn't exactly a bad thing.  The other side effect that I experienced was loss of emotion, I was neither happy nor sad.  This is what made me stop taking the medication.  I switched to zoloft which worked just made me gain 18 lbs and now in the process in switching to something else.",see above
zithromax,9,Considerably Effective,No Side Effects,bronchitis,Cleared up illness as it has in the past. It is a very effective treatment for bronchitis and pneumonia. It has been much more effective than other antibiotics I have taken.,"I did not experience any side effects. Again, I have taken this antibiotic before and had postive results.",Z-pack: I was prescribed 500 mg the first day and 250 mg for four days after that.
nasacort-aq,10,Highly Effective,No Side Effects,sinusitis,"Nasacort AQ has proven to be extremely effective in controlling my nasal stuffiness and sinusitis related to allergies.  Before use, it seemed my nose/sinuses were clogged on & off and made me much more susceptible to colds/flu--as much as 4 to 5 times per year & lasting 10 days to 2 weeks each round.  I was miserable.  Nasacort keeps my nasal passages open--it's a wonder!!",No side effects noticed.,"1 to 2 sprays per nostril per day.  I tried to limit to 1 spray per side per day & found is just as effective.  This is on a regular, permanent basis to control allergies."
prinivil,8,Considerably Effective,Mild Side Effects,high blood pressure,"It lowered my blood pressure from borderline high (140/90) to normal (about 120/75).  This treatment worked most of the time.  THe only time it did not work as well was when I was ill or was having asthma related problems (difficulty breathing).  During those times, even with the lisinopril, my blood pressure went up to the pre-treatment level.","For over a year after starting the treatment I believe I had a side effect of a dry cough that was probably caused by this drug.  It was unclear whether or not it truly was caused by the lisinopril because the coughing did not stop when I temporarily halted treatment (for a few days).  When the coughing was at it's worst, my blood pressure went up, nullifying the effect of the linsinopril.","In spite of the irritating coughing, I continued taking the linsinopril and after numerous tests to rule out other causes of the coughing (one Dr. thought it was because of acid reflux), the coughing finally subsided.  After about a year of coughing, the coughing finally subsided and now (5-7 years later) I don't have any coughing whatsoever attributable to the lisinopril."
xanax,10,Highly Effective,No Side Effects,anxiety,Xanax for me is particualy beneficial when either I need fast relief (one of the fastest acting benzodiazepines) or more in a social setting because it gives a more stimulating relaxation (i.e relaxes you but also enables you to be social compared to alternatives.),"The only thing to be aware of with this drug is that it is very short acting so while it may be perfect for situational anxiety (e.g a speech, social event, dentist etc) its not a good idea for people with more generalised anxiety as its short acting nature may mean that people get rebound anxiety and then feel the need to dose again (can lead to dependance.)",When taking as needed for particular events it works perfectly as a treatment
niaspan,7,Considerably Effective,Moderate Side Effects,high cholesteral,Niaspan helped reduce bad cholesterol and improve Triglycerides,occasional moderate to severe itching and flushing at night,"""started dosage at 500MG worked up to 1500 but if I missed a dose i would drop back down to lower dosage to avoid flushing. I found it hard to stay at the 1500 range without severe flushing and itching and it would happen randomly no matter what even when i took aspirin and ate before taking."
